Date,Close,High,Low,Open,Volume,MA10,MA50,Returns,Volatility
2022-12-02,62868.5,63148.58984375,62679.62890625,62978.578125,6400,62307.96796875,59915.83234375,-0.006568645296919251,734.3153495174712
2022-12-05,62834.6015625,62939.62890625,62507.87890625,62865.28125,13100,62476.944140625,59983.38875,-0.0005391959009678482,622.8891227459675
2022-12-06,62626.359375,62677.83984375,62390.0703125,62395.55078125,6100,62597.683984375,60053.5215625,-0.003314132378047563,499.9036672308797
2022-12-07,62410.6796875,62759.96875,62316.6484375,62615.51953125,4800,62687.694140625,60139.75671875,-0.003443912270367333,336.86236290518144
2022-12-08,62570.6796875,62633.55859375,62320.1796875,62504.0390625,13700,62717.494140625,60248.2659375,0.002563663796022464,308.01537656711105
2022-12-09,62181.671875,62735.421875,61889.109375,62690.859375,7300,62706.297265625,60349.748984375,-0.0062170942435473275,326.60905059076526
2022-12-12,62130.5703125,62239.421875,61676.1484375,61770.55859375,7000,62668.87421875,60460.394765625,-0.0008218106872830422,370.72258186101885
2022-12-13,62533.30078125,62567.921875,62129.5703125,62300.671875,12000,62654.0203125,60582.8615625,0.006482001802403881,373.1134409756802
2022-12-14,62677.91015625,62835.109375,62591.28125,62685.94140625,5700,62611.846484375,60687.881328125,0.002312517861576824,339.46407756061234
2022-12-15,61799.03125,62624.80859375,61715.609375,62530.0703125,5600,62463.33046875,60788.08578125,-0.014022147580527777,337.50285297175765
2022-12-16,61337.80859375,61893.21875,61292.53125,61534.23828125,7000,62310.261328125,60853.532578125,-0.0074632667684414455,458.6827886956251
2022-12-19,61806.19140625,61844.921875,61265.30859375,61405.80078125,4800,62207.4203125,60925.214375,0.007636119112147899,443.08265665014625
2022-12-20,61702.2890625,61780.37109375,61102.6796875,61608.8515625,4500,62115.01328125,60995.434375,-0.001681099278016518,442.3619951793281
2022-12-21,61067.23828125,62006.4609375,60938.37890625,61993.7109375,6600,61980.669140625,61056.956953125,-0.010292175394120973,536.5618488372751
2022-12-22,60826.21875,61464.37890625,60637.23828125,61257.171875,9100,61806.223046875,61130.534921875,-0.003946789441172438,602.9019103371382
2022-12-23,59845.2890625,60546.87890625,59765.55859375,60205.55859375,8100,61572.584765625,61174.9225,-0.016126757632784816,845.2381797967971
2022-12-26,60566.421875,60833.78125,59754.1015625,59755.078125,6500,61416.169921875,61241.544375,0.012049951195772124,874.7195159193878
2022-12-27,60927.4296875,60986.6796875,60405.66015625,60861.41015625,11100,61255.5828125,61301.69359375,0.005960527323952913,790.1625392936836
2022-12-28,60910.28125,61075.328125,60713.76953125,60811.51953125,10000,61078.819921875,61351.679609375,-0.0002814567689455316,614.9054532376581
2022-12-29,61133.87890625,61210.6484375,60479.05859375,60628.2890625,7900,61012.3046875,61395.14515625,0.00367093455589651,562.0461446411716
2022-12-30,60840.73828125,61392.6796875,60743.7109375,61329.16015625,8000,60962.59765625,61429.81609375,-0.004795060124510253,551.9497931642768
2023-01-02,61167.7890625,61222.7890625,60764.62890625,60871.23828125,18500,60898.757421875,61469.11390625,0.005375522889583095,475.1063635856435
2023-01-03,61294.19921875,61343.9609375,61004.0390625,61074.87890625,6700,60857.9484375,61508.854921875,0.002066613133929529,411.716177272278
2023-01-04,60657.44921875,61327.2109375,60593.55859375,61294.6484375,7900,60816.96953125,61525.370703125,-0.010388421875413223,408.95488559896495
2023-01-05,60353.26953125,60877.05859375,60049.83984375,60847.5,8900,60769.674609375,61541.556875,-0.0050147128080350045,434.3271848756864
2023-01-06,59900.37109375,60537.62890625,59669.91015625,60388.73828125,8600,60775.1828125,61544.4275,-0.007504124317001537,421.46009323254435
2023-01-09,60747.30859375,60889.41015625,60109.94140625,60147.0703125,8000,60793.271484375,61560.176640625,0.014139102722326324,415.3420724376555
2023-01-10,60115.48046875,60809.6484375,59938.37890625,60805.140625,8500,60712.0765625,61547.554453125,-0.010400923754916858,462.84835748568656
2023-01-11,60105.5,60364.76953125,59805.78125,60134.55859375,9700,60631.5984375,61527.237421875,-0.0001660216082808308,493.50674432373563
2023-01-12,59958.03125,60290.3515625,59632.3203125,60083.03125,6100,60514.013671875,61508.27625,-0.002453498431923884,500.5647339594901
2023-01-13,60261.1796875,60418.26171875,59628.4296875,60044.9609375,7200,60456.0578125,61496.771640625,0.00505601053236715,492.0109204840734
2023-01-16,60092.96875,60586.76953125,59963.828125,60550.5,6500,60348.57578125,61479.623828125,-0.0027913648284401127,433.13086777102984
2023-01-17,60655.71875,60704.48046875,60072.33984375,60142.078125,6600,60284.727734375,61469.035234375,0.009364656326785292,306.9181078526406
2023-01-18,61045.73828125,61110.25,60569.19140625,60716.03125,6900,60323.556640625,61469.278984375,0.006430053740810626,376.0802857968124
2023-01-19,60858.4296875,61032.46875,60716.55078125,60920.01953125,8500,60374.07265625,61474.17359375,-0.0030683320248668933,412.66277251027753
2023-01-20,60621.76953125,61001.1796875,60585.25,60901.16015625,6300,60446.2125,61450.708203125,-0.0038886996832685483,382.61295722814214
2023-01-23,60941.671875,61113.26953125,60761.87890625,60876.01171875,6600,60465.648828125,61437.058671875,0.005277020882491712,403.9495982646844
2023-01-24,60978.75,61266.05859375,60849.12109375,61122.19921875,9500,60551.97578125,61419.17390625,0.0006084198851001865,412.9445760170774
2023-01-25,60205.05859375,60899.2109375,60081.359375,60834.73046875,8100,60561.931640625,61383.660703125,-0.012687885636389673,402.04045210214326
2023-01-27,59330.8984375,60166.8984375,58974.69921875,60166.8984375,12900,60499.218359375,61335.266640625,-0.014519712739566204,533.9731823360004
2023-01-30,59500.41015625,59644.23828125,58699.19921875,59101.69140625,11500,60423.14140625,61292.005234375,0.0028570563267058535,619.0696087625167
2023-01-31,59549.8984375,59787.62890625,59104.58984375,59770.828125,9000,60368.834375,61260.10640625,0.0008317300858942112,672.7449068756971
2023-02-01,59708.078125,60773.44140625,58816.83984375,60001.171875,25300,60274.0703125,61225.88875,0.0026562545302408758,694.2434162793295
2023-02-02,59932.23828125,60007.671875,59215.62109375,59459.87109375,10400,60162.7203125,61194.321953125,0.0037542684891098688,644.2182815042565
2023-02-03,60841.87890625,60905.33984375,60013.05859375,60350.01171875,9100,60161.065234375,61165.7059375,0.015177818334286775,642.2505755530717
2023-02-06,60506.8984375,60847.2109375,60345.609375,60847.2109375,7500,60149.578125,61129.97109375,-0.005505754831571896,634.0701708968953
2023-02-07,60286.0390625,60655.140625,60063.48828125,60511.3203125,13600,60084.01484375,61085.595859375,-0.0036501519777638602,574.1301125067118
2023-02-08,60663.7890625,60792.1015625,60324.921875,60332.98828125,13300,60052.51875,61045.23484375,0.006265961504095197,526.233532913663
2023-02-09,60806.21875,60863.62890625,60472.80859375,60715.890625,8500,60112.634765625,60999.36625,0.002347853467465688,577.4418213299381
2023-02-10,60682.69921875,60774.140625,60501.73828125,60706.80859375,5300,60247.81484375,60947.33640625,-0.0020313634655995116,530.4166886069466
2023-02-13,60431.83984375,60740.94921875,60245.05078125,60652.8203125,5800,60340.9578125,60898.603203125,-0.004133952151595954,461.9490206874754
2023-02-14,61032.26171875,61102.73828125,60550.25,60550.25,7000,60489.194140625,60862.55640625,0.009935522012112008,415.3924711359795
2023-02-15,61275.08984375,61352.55078125,60750.3203125,60990.05078125,5700,60645.8953125,60835.531015625,0.003978684685142397,382.22962838562546
2023-02-16,61319.51171875,61682.25,61196.71875,61566.21875,6900,60784.62265625,60813.70765625,0.0007249581373649505,344.30208713011444
2023-02-17,61002.5703125,61302.71875,60810.671875,60993.5390625,8100,60800.691796875,60782.34546875,-0.005168687704228514,350.9567992907855
2023-02-20,60691.5390625,61290.19140625,60607.01953125,61112.83984375,6100,60819.155859375,60752.5428125,-0.005098658112382304,338.4156944227214
2023-02-21,60672.71875,60976.58984375,60583.71875,60770.4296875,5100,60857.823828125,60723.38578125,-0.0003100977960143192,289.2528363260117
2023-02-22,59744.98046875,60462.8984375,59681.55078125,60391.859375,8100,60765.94296875,60667.619375,-0.015290863840678015,455.74782975565995
2023-02-23,59605.80078125,59960.0390625,59406.30859375,59777.640625,7100,60645.901171875,60606.1771875,-0.0023295628588044792,584.0055351369493
2023-02-24,59463.9296875,59908.76953125,59325.33984375,59859.48046875,5300,60524.02421875,60559.47515625,-0.0023801558219250785,692.5576399779981
2023-02-27,59288.3515625,59441.12890625,58937.640625,59331.30859375,7500,60409.675390625,60518.486015625,-0.0029526828435778585,796.1265373810758
2023-02-28,58962.12109375,59483.71875,58795.96875,59346.609375,6900,60202.661328125,60461.604609375,-0.005502437833949547,880.8839409875206
2023-03-01,59411.078125,59475.44921875,59109.5390625,59136.48046875,5900,60016.26015625,60415.780390625,0.007614329724267455,824.1261860626769
2023-03-02,58909.3515625,59423.7890625,58866.26171875,59287.1796875,5200,59775.244140625,60372.62265625,-0.00844500013018401,749.7073900951663
2023-03-03,59808.96875,59967.0390625,59231.578125,59241.19921875,9200,59655.883984375,60352.27765625,0.01527121184733371,615.6198218036367
2023-03-06,60224.4609375,60498.48046875,60005.6484375,60007.0390625,5900,59609.176171875,60359.86109375,0.006946987988319053,541.5791722434815
